NAME	Jurkat	IM-9	Raji	THP-1
1405_i_at	4.991974495	7555.852849	51.56998722	976.6655433
1552390_a_at	447.9039385	10.63476293	8.958757398	9.141994187
1552623_at	7.262745647	525.0777249	1600.740615	56.46691509
1552774_a_at	8.508663396	8.189839418	442.9046811	5.755544699
1553179_at	230.3270763	5.405594246	12.03441228	3.367557669
1553196_a_at	10.62860021	13.55357294	1190.287207	11.96171758
1553830_s_at	72.68487211	3058.329013	3.162013647	108.9265776
1554161_at	43.49025502	41.1743866	585.859542	28.19321123
1554300_a_at	653.8845599	14.37849258	24.18747076	12.86627644
1554679_a_at	5077.64324	48.44550841	42.35857223	2849.347979
1554733_at	40.64461638	1479.574846	2.750527952	48.88883324
1554892_a_at	38.62382734	49.95881937	45.21626135	7923.951262
1554899_s_at	25.42902422	35.9996046	44.45180632	5384.158902
1555613_a_at	3951.014695	13.08994004	90.67568093	62.98413209
1555756_a_at	3.486594791	10.9663219	310.1141359	50.59628038
1555800_at	6.020817794	2.826461651	102.8185886	2.643299967
1555935_s_at	1353.502444	18.76797004	20.76909928	28.12714711
1556037_s_at	4513.358811	3.509764063	7.591417383	26.72892119
1556095_at	42.71333917	4789.977125	3.938384406	99.36813019
1556096_s_at	79.18176091	6400.478666	4.90089688	241.8646394
1556395_at	1704.34743	2.874344913	3.803744329	2.786011153
1556598_at	881.795499	16.06556735	2.326158633	1.320320096
1556599_s_at	2405.912022	45.77939731	40.26032089	51.11378563
1557177_at	6.052968319	77.32383668	864.9137784	15.24784722
1557919_a_at	158.1177312	158.5361969	148.3373423	16378.55015
1558826_at	6.740679775	8.416970062	276.4863536	8.968160309
1558856_at	115.4444273	89.42186258	26.32027563	4712.170219
1558971_at	1451.210477	36.04248027	18.68840905	32.66603355
1558972_s_at	1217.021543	19.23358364	19.5758477	6.226733157
1559827_at	2.524000008	177.2155398	3.180593283	1168.338845
1562054_at	13.07518242	536.4952471	4.976013323	1.706717957
1562484_at	19.64506122	4.126166346	11.11449427	730.8481359
1565162_s_at	2.138165368	6295.92609	3.299100938	4882.546274
1565627_a_at	17.64461294	100.6517417	1556.964647	181.1161096
1568751_at	2.092978303	21.41414744	139.8613739	1.018430853
1568752_s_at	28.23729771	7.862970489	7579.768226	19.53411948
1569034_a_at	9.813945177	8.008883673	616.3357924	11.62209085
1569040_s_at	4.322841396	2.330946507	1306.629049	11.80110037
1569454_a_at	38.7768511	2249.333151	20.76247119	65.76565435
1569886_a_at	2065.06137	477.7912174	6.855068721	19.80205605
1569969_a_at	33.57760191	5791.14387	12.56831958	198.6273835
200660_at	11.67991422	7.56530746	12.39512327	10318.30709
200907_s_at	470.0615525	28.21383909	1387.692784	10.78912631
200951_s_at	127.0446405	2368.986988	12.32669489	153.4567203
200953_s_at	907.9147442	13701.00936	129.0121332	735.9640408
201058_s_at	7.414182152	17.90291144	9.314720567	1569.519734
201105_at	336.9788892	17375.45094	18.69198695	26096.49924
201117_s_at	2.886440948	4.152084588	1.261798365	249.3639399
201131_s_at	7.076051907	418.727548	5.949880074	13.9847859
201137_s_at	64.09962312	7027.232149	17909.28522	360.6161838
201162_at	10.18852761	10.85289245	11.39009339	7652.269366
201163_s_at	4.682124885	13.54196687	4.15740809	8693.226892
201169_s_at	16.40185611	601.5621245	6.375168653	61.2551369
201215_at	33.02944481	5559.343751	24.31622007	2105.104432
201313_at	2184.036689	2364.843691	5.954219425	5.324190248
201387_s_at	36.01893914	5097.064203	12156.6934	468.8099739
201416_at	11302.19368	202.5910289	256.2658343	204.5448285
201506_at	21.32685268	14.67310844	30.82105638	6896.957023
201579_at	5684.315793	83.32071946	75.62811636	1793.071445
201670_s_at	248.2343475	6520.490186	18.40416662	1656.878951
