Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
GSM1587831_FL_lymph_node_biopsy_untreated_1063.CEL.gz	0.32716087369908	0.3521825650791	0	0.035346699058481	0	0.052174988862655	0.0050547229197002	0.12048691064176	0	0.0047659664510292	0	0.013789220716829	0	0.036612873796546	0.0007	0.024351374383447	0	0.019489213129071	0.0078509075692319	0	0	0	0	0.7648760671592465	0.6470717286656611
GSM1587832_FL_lymph_node_biopsy_untreated_1080.CEL.gz	0.097290472046892	0.47331579469095	0.07712273670581	0.05915215408984	0	0.018440310140104	0.0005	0.098548708942599	0.0049921958968912	0.017599673352328	0	0.064951316897669	0	0.035797099020763	0.023724845536816	0.02405868188021	0	0	0.0003	0	0	0.0042616589162508	0	0.7874315494962492	0.6284121776125401
GSM1587833_FL_lymph_node_biopsy_untreated_575.CEL.gz	0.22870500057295	0.21450585829773	0.029852940430893	0.092777100904237	0.0046068603802466	0	0.014806708895039	0.12450945911491	0	0.070333099494592	0	0.051763051130976	0	0.081915181235384	0.040615547505212	0.039706649004425	0	0	0.0058378172587238	0	0	0.0001	0	0.690177767338858	0.7351340398407508
GSM1587834_FL_lymph_node_biopsy_untreated_581.CEL.gz	0.068569451581869	0.38124805221487	0	0.092207201642427	0	0.0066656219253346	0.026428365350767	0.14533367726797	0.0034052307877197	0.063790435775516	0	0.03775798103146	0	0.1017531035748	0.024008387425712	0.042715002228774	0	0	0.0061174891927772	0	0	0	0	0.7105008768934069	0.7245394415195755
GSM1587835_FL_lymph_node_biopsy_untreated_598.CEL.gz	0.081657654012483	0.50586522421195	0	0.051323919594863	0	0.07202230016897	0.055712114241956	0.070764632609345	0	0.015603212783848	0	0.044234182279838	0	0.033097745255408	0	0.048951195068682	0	0.020505319496481	0.0003	0	0	0	0	0.8199850160984812	0.6076673556749735
GSM1587836_FL_lymph_node_biopsy_untreated_639.CEL.gz	0.23954590001705	0.28815252256782	0.056225424238573	0.039650421256695	0	0.069276054152434	0.0072302056999619	0.1037538196543	0	0.041609775781695	0	0.04724098858642	0	0.03923775945124	0.0026003619917016	0.036551596142666	0	0.022214563929086	0	0.0062401068691277	0	0.0005	0	0.8172625746970832	0.6075530937339139
GSM1587837_FL_lymph_node_biopsy_untreated_664.CEL.gz	0.055218035983119	0.4010349995879	0.026162031215136	0.079700725120854	0	0.032926509278461	0.0093304294170774	0.16492023958663	0	0.035901784229723	0	0.053310632789202	0	0.026493614235093	0.0085950646997962	0.068458406678196	0	0.0277643980181	0.010183129160715	0	0	0	0	0.7439891200420834	0.6937455206892333
GSM1587838_FL_lymph_node_biopsy_untreated_666.CEL.gz	0.062036094312268	0.47249478772722	0.046567588551368	0.07393747210143	0	0.042646790425399	0.0096751365515871	0.096116364883796	0	0.015745268474726	0	0.080173798312137	0	0.026491057330402	0.01706558772882	0.043410071495099	0	0.013545776578522	0	0	0.0001	0	0	0.7086825387949756	0.7106595238205281
GSM1587839_FL_lymph_node_biopsy_untreated_695.CEL.gz	0.25204451690754	0.34141055478691	0.056189344510569	0.018794875585176	0	0.046604756701131	0.0075182087787818	0.11527221889514	0	0.025146814658995	0	0.037075628220096	0	0.053842950051837	0	0.020736269810365	0	0.021423555402039	0	0	0	0.0039403056914286	0	0.6812679241156776	0.7315424713696101
GSM1587840_FL_lymph_node_biopsy_untreated_706.CEL.gz	0.38506564841289	0.27481023384653	0.020730266263906	0.020785807225845	0	0	0.0090455114790961	0.130265751698	0	0.010596089010295	0	0.017864450012713	0	0.033683809545007	0.0009	0.04523080199788	0	0.037894229537763	0.013121880567804	0	0	0	0	0.8087269944539932	0.5987297844802463
GSM1587841_FL_lymph_node_biopsy_untreated_726.CEL.gz	0	0.60709814700126	0	0.047477900479699	0	0.097597528074594	0.0032646951415181	0.046448021467899	0	0.042594016366146	0	0.043459157409851	0	0.037631908466646	0.010899854470081	0.056754133109218	0	0.0061196564178746	0.0007	0	0	0	0	0.7584501086018254	0.6637960886086806
GSM1587842_FL_lymph_node_biopsy_untreated_731.CEL.gz	0	0.60154743635663	0.041422647321789	0.047881978279811	0	0	0	0.14308671919916	0.007955101501261	0.029604443564438	0	0.046225931966606	0	0.031012979520145	0.0095649711597166	0.031123156686475	0	0.010574634443972	0	0	0	0	0	0.6533228693971257	0.7563718646657909
GSM1587843_FL_lymph_node_biopsy_untreated_944.CEL.gz	0	0.36837468718184	0	0.097320937908357	0	0.098532418256276	0.013245669853389	0.11264738856406	0	0.051307364300167	0	0.10162417038601	0	0.043793361229157	0.040732105815278	0.065687331585359	0	0.0036072188175309	0.0024716486628583	0	0.0007	0	0	0.6282376151931471	0.7844538286084889
GSM1587844_FL_lymph_node_biopsy_untreated_959.CEL.gz	0.17251692044009	0.29386923785672	0.11202613817285	0.097065657861407	0	0.05009706622295	0.010942073036207	0.050709458912962	0	0.043920170810553	0	0.054996074072924	0	0.049417673983155	0.022703988078818	0.019738599238084	0	0.014699738630212	0.0069090321555258	0	0	0.0004	0	0.7432200569961881	0.6793938037077776
