Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
GSM1587845_Normal_tonsil_B_cells_1.CEL.gz	0.022448811020818905	0.3863348404497626	0.1317997462057897	0.004336387915439909	0	0	0.003550791693421196	0.02395057045175872	0	0.00173827860245778	0	0.019941563075797353	0	0	0	0	0	0.009142355598361143	0	0.002935495089453807	0.020354505706728084	0	0	0.8271550539259023	0.6265333458097891
GSM1587846_Normal_tonsil_B_cells_3.CEL.gz	0.15081582505718186	0.302972366487096	0.04593148806293531	0	0	0	0.009250111229860488	0.022257436096717775	0	0.014450007570588763	0	0.011956701021694272	0	0.005192391618113205	0	0.001146087342037634	0	0.009543186302956802	0.005194809046001707	0	0.00934101718295732	0.0016608617604699908	0	0.7956908817048627	0.5897122887786111
GSM1587847_Normal_tonsil_B_cells_4.CEL.gz	0	0.43937592202785963	0.06737204044795578	0	0.003389224035541275	0.0012340516639012431	0.0053195306127698785	0.0061611511134872605	0	0.008164168721750447	0	0.009826887999669189	0	0	0	0.008536763881819603	0	0.007149715962287743	0	0.0005999999999999999	0.014441594423234125	0	0	0.808996204844106	0.571597641179267
GSM1587848_Normal_tonsil_B_cells_5.CEL.gz	0.03417755631295634	0.29350645191979224	0.18630632354883428	0.0059050997814880666	0	0	0.00847401668117018	0.012913244446179514	0	0.004254637340514158	0	0.015339237927792002	0	0.003473284398844358	0	0.002608641166931205	0	0.011606454718305173	0.008519797576118433	0	0.0030796475143877507	0.00301738829355614	0	0.8772437253016847	0.5931817816268699
GSM1587849_Normal_tonsil_B_cells_6.CEL.gz	0.08017244446289291	0.43294134333581363	0	0	0	0.02096758792104606	0.0002	0.012702255506949192	0	0.007195397883567511	0	0.021262673373372943	0	0.0009	0	0.007185940160490222	0	0.004111835681290622	0	0	0.016877750873196474	0	0	0.7708080875141465	0.6044607468540442
GSM1587850_Normal_tonsil_T_cells_1.CEL.gz	0	0.00666260764039216	0.0037940352262662846	0.16884827910203415	0.0430102769211332	0.16635726343725438	0	0.3704427369707129	0.00445111623483133	0	0	0.033485825207110916	0.0001	0	0	0	0	0.0003	0	0.0037969406851937754	0.00289005238402438	0.0005999999999999999	0	0.8375004435792116	0.8047330928535705
GSM1587851_Normal_tonsil_T_cells_3.CEL.gz	0	0.006527873986898339	0.004137776229316405	0.16762442464851898	0	0.1961751030585344	0.005537515844198364	0.2919819755790047	0	0.09767001217378232	0	0.05179940726538348	0	0.002303307725004388	0	0	0	0.0018956891292277718	0	0.0009	0.0012577862577230793	0.0014855414859050473	0	0.8269600972469885	0.829296199741426
GSM1587852_Normal_tonsil_T_cells_4.CEL.gz	0	0.010351249927015933	0.0005	0.1190693096846428	0	0.2590709549239407	0.018891442214204027	0.44750108205477934	0	0.01019008956274537	0	0.01970562256062591	0	0.0002	0	0.001	0	0.0005999999999999999	0	0	0	0.0004	0	0.8708477856297087	0.8873121533035054
GSM1587853_Normal_tonsil_T_cells_5.CEL.gz	0	0.002392721632827721	0.002936123480615202	0.1715324976181816	0	0.09307349220001902	0	0.39722202287101327	0.011617311100136286	0.15860376934743312	0	0.05719069726342769	0	0.002696073197164785	0	0.0017589325801230956	0	0	0.0011631735774661398	0	0.0005999999999999999	0.003405316580977424	0	0.811198962597055	0.9041972900416594
GSM1587854_Normal_tonsil_T_cells_6.CEL.gz	0	0.007228511913083711	0.005692232798052897	0.20449840350601722	0	0.27848604413365374	0.010755783290843538	0.23753740898122197	0.011244318787257117	0.0827896380734959	0	0.024732558078046793	0	0	0	0	0	0.0015925940127797284	0	0.008368405065781888	0.005790146646087297	0.0005	0	0.8431126490582056	0.879265353319852
