Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
GSM1587845_Normal_tonsil_B_cells_1.CEL.gz	0.035830193509978	0.61662295077116	0.21036349794828	0.0069212404167174	0	0	0.0056673626665981	0.038227128072174	0	0.0027744390846605	0	0.031828414575481	0	0	0	0	0	0.014591969700423	0	0.0046852974531782	0.032487505801339	0	0	0.8271550539259023	0.5615630654596979
GSM1587846_Normal_tonsil_B_cells_3.CEL.gz	0.25574475541208	0.51376302012393	0.07788796153132	0	0	0	0.015685803748501	0.037742873126854	0	0.024503487286177	0	0.02027548221262	0	0.0088049574630155	0	0.0019434686436862	0	0.01618278351079	0.0088090567974444	0	0.015839956807249	0.0028163933363334	0	0.7956908817048627	0.6054786151672187
GSM1587847_Normal_tonsil_B_cells_4.CEL.gz	0	0.76868043248286	0.11786619746883	0	0.0059293877220153	0.0021589516383505	0.0093064250611586	0.010778825295318	0	0.014283069301873	0	0.017191967376554	0	0	0	0.014934917968184	0	0.012508302076854	0	0.0010962086682131	0.025265314939788	0	0	0.808996204844106	0.587992765493718
GSM1587848_Normal_tonsil_B_cells_5.CEL.gz	0.05761733986371	0.49480017932246	0.3140796452613	0.0099549580995098	0	0	0.014285699499956	0.021769455580317	0	0.0071725691386632	0	0.025859253272618	0	0.0058553457075476	0	0.0043977095179436	0	0.019566438278791	0.014362878024932	0	0.0051917432560748	0.0050867851761742	0	0.8772437253016847	0.4796058093398105
GSM1587849_Normal_tonsil_B_cells_6.CEL.gz	0.13263465804877	0.71624393410008	0	0	0	0.034688088565177	0.0003	0.021014194177304	0	0.01190382985333	0	0.035176268242456	0	0.0014312613477363	0	0.011888183307005	0	0.0068024858565109	0	0	0.027921996525064	0	0	0.7708080875141465	0.6379111792139472
GSM1587850_Normal_tonsil_T_cells_1.CEL.gz	0	0.0082792763210056	0.0047146504349817	0.20981898296651	0.0534466362861	0.20672352723479	0	0.4603299407722	0.005531170861941	0	0	0.041611095038195	0.0001	0	0	0	0	0.0004	0	0.0047182608978213	0.0035913179285026	0.0007	0	0.8375004435792116	0.5663143111459364
GSM1587851_Normal_tonsil_T_cells_3.CEL.gz	0	0.0078715831435544	0.0049895034254426	0.20212853344895	0	0.2365561341288	0.0066773679246631	0.35208406317314	0	0.1177745806676	0	0.062461889107335	0	0.0027774246713328	0	0	0	0.0022859011410143	0	0.0010849999773414	0.001516691211313	0.0017913279795183	0	0.8269600972469885	0.5837430931176746
GSM1587852_Normal_tonsil_T_cells_4.CEL.gz	0	0.011665849372713	0.0005	0.13419100509482	0	0.29197273356328	0.021290638411601	0.50433331763654	0	0.011484221786896	0	0.022208218930915	0	0.0002	0	0.0010788801863582	0	0.0007	0	0	0	0.0004	0	0.8708477856297087	0.52277438875956
GSM1587853_Normal_tonsil_T_cells_5.CEL.gz	0	0.0026462384472724	0.0032472155280181	0.18970693620446	0	0.10293493823204	0	0.43930901723087	0.012848203846752	0.17540836617651	0	0.063250241836926	0	0.0029817311187037	0	0.0019452973366488	0	0	0.0012864156863515	0	0.0007	0.0037661211977538	0	0.811198962597055	0.5990023159338832
GSM1587854_Normal_tonsil_T_cells_6.CEL.gz	0	0.0082210812535612	0.0064738508990041	0.23257871214178	0	0.31672582466962	0.012232693179861	0.27015440570284	0.012788310997132	0.094157739482064	0	0.028128662166278	0	0	0	0	0	0.0018112780251906	0	0.0095174966626232	0.0065852096005209	0.0006	0	0.8431126490582056	0.5674232472517298
