"gene","GSM1587845_Normal_tonsil_B_cells_1.CEL.gz","GSM1587846_Normal_tonsil_B_cells_3.CEL.gz","GSM1587847_Normal_tonsil_B_cells_4.CEL.gz","GSM1587848_Normal_tonsil_B_cells_5.CEL.gz","GSM1587849_Normal_tonsil_B_cells_6.CEL.gz","GSM1587850_Normal_tonsil_T_cells_1.CEL.gz","GSM1587851_Normal_tonsil_T_cells_3.CEL.gz","GSM1587852_Normal_tonsil_T_cells_4.CEL.gz","GSM1587853_Normal_tonsil_T_cells_5.CEL.gz","GSM1587854_Normal_tonsil_T_cells_6.CEL.gz"
"A1BG",181.062651728985,384.162025040528,454.347929316567,434.192657532,420.996996888079,365.053940819563,248.495080187792,477.971725709462,394.332993352224,616.507270895699
"NAT2",5.59697313871615,5.42352536424214,2.80746468037162,2.30581775822024,4.33172913077487,30.0028573878661,3.58640388307571,5.50966021371004,24.1497625706124,8.36550352582973
"ADA",2440.616993308,509.048592603379,1431.30382048758,2664.59767072873,861.601491755643,657.091916446603,508.096843667083,877.453640953829,792.077840253206,557.017907028532
"CDH2",9.47069352923223,49.3354583455121,38.7546294005842,26.3050334334546,20.8193697893855,90.7582681063412,110.883686929498,257.766776802052,191.702832526361,57.3897776201466
"AKT3",103.800050599662,180.819160267061,147.837278663077,87.3574250987689,149.94892053597,211.33284581856,264.749766235709,194.169271083998,246.261329858764,261.482956804631
"ZBTB11-AS1",44.6276761995601,58.1066930008706,54.6582358522981,159.138084117057,88.0803199950231,105.245515770927,70.9079002790468,140.660010536146,120.794336457182,120.955503133425
"MED6",1125.37745813878,1017.23859209904,1168.50249124037,1311.37053176095,1027.60764849967,935.28670785751,1121.332161146,1161.8576163187,981.740299354846,1103.60723824985
"NR2E3",38.5430214801811,47.4459535257908,9.44401319801299,27.2557979329496,32.9010902186045,32.700217382976,21.5142677601834,13.2128102662311,7.61872507184813,4.340514139597
"NAALAD2",6.2224156386715,13.7117700306056,12.1354074536679,4.31388082589415,5.05597249138778,2.88425136623148,52.0466903223002,2.88425136623148,31.3818387422729,3.62680733499453
"NAALADL1",120.587405799584,158.85220509236,67.6074560499122,131.623100419613,163.468327601702,183.048477121375,153.605135911212,264.244316039016,250.210151987717,240.366059522148
"CDKN2B-AS1",40.265848009439,35.6730703643154,4.80033224688251,24.5469917803141,35.4310012551296,6.32847768643503,20.7958556635345,22.3547737824306,18.5305058789968,5.16838107040629
"LOC100049716",182.530176437512,269.338909382821,165.955287184393,141.666475269424,323.764358105778,258.529370715341,164.684017883607,245.232703201604,185.473937221353,411.793804496782
