Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.18.3406.01A.01R.1031.01	0	0.10417585672169	0.20691902761166	0	0	0.088611855109831	0.034357757910157	0.062842641519843	0	0.14137886386216	0	0.013682263764306	0	0.041326840042496	0.088736432523315	0.088200210891138	0.037289633816684	0.010900736275822	0.043521013694616	0.0039003608048224	0.019326479759192	0.014830025692269	0	0.5059229274139998	0.8642179677555643
TCGA.18.3407.01A.01R.1031.01	0	0.0682997410437	0.2201309953761	0	0.085255425628164	0	0.054315674089831	0.015086123748625	0	0.12766727251028	0	0	0	0.1560804253271	0.071918339060837	0.072483233158143	0.002717802233994	0.036047103241361	0.025616638572434	0.03348920210133	0	0.030892023908105	0	0.5350005105999872	0.8493190177537485
TCGA.18.3408.01A.01R.1031.01	0.0057985187333239	0.0044473428242245	0.13255789494674	0	0.0013174493851003	0.028252200898929	0.018244234326823	0.011977932111831	0	0.12211685969884	0	0.045054890871776	0	0.018363244780293	0.089912631763451	0.20299066160559	0.18082624653747	0.001689494380227	0.12546620874388	0	0	0.010984188391514	0	0.46146052131674187	0.8879155762650206
TCGA.18.3409.01A.01R.1031.01	0	0.0026015443197495	0.021069227656335	0	0	0.088098232186579	0	0.0028234071321917	0	0.082973016306759	0	0.012727884241961	0	0.21192827624651	0.11495802258431	0.22398439446053	0.1726064861011	0	0.020831331007084	0.030910741642519	0	0.01448743611437	0	0.43381817121784766	0.9026279986375056
TCGA.18.3410.01A.01R.1031.01	0	0.046152463702669	0.081649259497838	0.047078049565766	0.028709262291388	0	0.055739604154138	0	0	0.16042583728185	0	0.02443340848382	0	0.17517216392167	0.25021417845283	0.02149154091659	0	0.0014418952955739	0.10749233643586	0	0	0	0	0.5028093100361374	0.8644164266258492
TCGA.18.3411.01A.01R.1031.01	0	0.0091501110186424	0.15726583145968	0	0	0.004339222071032	0.062751673879088	0.048471834962102	0	0.046425352425559	0.011439748801446	0.019971404713879	0	0.082305028726571	0.10838930255519	0.22866974463667	0.12145687239799	0	0.089469844850272	0	0	0.0098940275018819	0	0.5393271076646133	0.8504244777178094
TCGA.18.3412.01A.01R.1031.01	0	0.0175850112903	0.11975526453099	0	0.020270600139792	0.008398646237036	0.027677743719417	0.043812931888463	0	0.094454572479738	0	0.011290413461399	0	0.1222000111282	0.15594464298073	0.19331221280306	0.03788205472052	0.0042825189046409	0.083956763268065	0.020645207721577	0.0015252615014631	0.037006143224612	0	0.36887399080915556	0.9317463368312674
TCGA.18.3414.01A.01R.1031.01	0	0.0025148308072707	0.060593392961627	0.036689821090333	0	0	0.037649444738716	0.086892755049136	0	0.1664728913251	0	0	0	0	0.062937925899418	0.061953291154454	0.039968852910618	0.084656197851039	0.12037443465765	0.078906249363132	0	0.16038991219151	0	0.34457391859115094	0.941727083365652
TCGA.18.3415.01A.01R.1031.01	0	0.066305380488111	0.12893140680789	0.031477211323389	0.042893662915285	0.014468654179427	0.16233307992914	0.029699266919463	0	0.082587702783607	0	0.04113007868809	0	0.015151310379392	0.11153600254813	0.077442075126928	0.027737700312472	0.023828100437256	0.12124511918458	0	0	0.023233247976844	0	0.474445905018012	0.8821503488630275
TCGA.18.3416.01A.01R.1031.01	0	0.035119850701139	0.08656149772768	0.12900155095044	0	0	0.072765894731763	0.067550671169287	0	0.2315157432768	0	0.080533575909885	0	0	0.091012547171605	0.091029467955015	0.025553985354175	0.016611390454946	0.059278905313973	0	0	0.013464919283284	0	0.36559918510907435	0.9411879298437561
TCGA.18.3419.01A.01R.1031.01	0.018144692994222	0	0.295252064391	0	0	0.013053628558852	0.12136854074321	0.043782078842809	0	0.092442345721532	0	0.0068826711568771	0	0.13456564636925	0.084275361850031	0.05756096365179	0.0090542596691197	0.0031249729910051	0	0.060178313481516	0	0.060314459578785	0	0.3733798094429918	0.9317508600028831
TCGA.18.3421.01A.01R.1031.01	0	0	0.018191518415999	0.12282781666818	0.0039200918943058	0	0.065265674458335	0.038389051294295	0	0.15183156584329	0	0.062980705346988	0	0.097366443680189	0.17350119735883	0.11741410111274	0.010655343334408	0.056451015515166	0.066378318049417	0	0	0.014827157027856	0	0.4770895153126807	0.8789426207532639
