Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.18.3406.01A.01R.1031.01	0	0.04994552189106188	0.0992042002007694	0	0	0.042483620072796	0.016472308939889057	0.030128952117522735	0	0.06778195649016645	0	0.006559756225249807	0	0.01981352197163244	0.042543344406340125	0.042286258093027114	0.017877946013273367	0.005226197349220398	0.02086549453770662	0.0018699729973790775	0.009265791067718883	0.007110015388745416	0	0.5059229124647232	0.4794348577624988
TCGA.18.3407.01A.01R.1031.01	0	0.030598659684670126	0.09861989533927774	0	0.03819489879765106	0	0.024333720794978166	0.006758666474028798	0	0.05719563951017701	0	0	0	0.0699248885218407	0.032219811042543595	0.03247288675525564	0.0012175902678039328	0.01614930017320472	0.011476395957703866	0.015003345231341385	0	0.013839796568875065	0	0.5350005108751101	0.44800549511935184
TCGA.18.3408.01A.01R.1031.01	0.003024889922540695	0.001160347574389409	0.05485022955374673	0	0.004779219700745592	0.01009605889997885	0.007299700753800332	0.005022744534562343	0	0.05110972208384836	0	0.017781022928917624	0	0.007305535084731371	0.037131213837032384	0.08420848814459345	0.07481870601036478	0.0020054790441369997	0.05174108923081447	0	0	0.004601448201035048	0	0.46160053076877955	0.4169358955052384
TCGA.18.3409.01A.01R.1031.01	0	0.0007	0.008233853708836524	0	0	0.032330036904217506	0	0.001288577970511844	0	0.033505820169973	0	0.005046229957857307	0	0.08411413483281861	0.04515867036878864	0.08850668510527747	0.0682010218643665	0	0.008259959923645584	0.012073900309861487	0	0.0057593037826407355	0	0.4337529402987942	0.39317431904631583
TCGA.18.3410.01A.01R.1031.01	0	0.01983590943194716	0.035092108985298284	0.02023371730319372	0.012338979667990824	0	0.023956374846020482	0	0	0.06894956575992474	0	0.010501256726862808	0	0.07528740273937592	0.10753977793824955	0.009236868966374514	0	0.0005999999999999999	0.04619922823413624	0	0	0	0	0.5028093101697223	0.4297909040726177
TCGA.18.3411.01A.01R.1031.01	0	0.003708341243337508	0.06482258854259194	0	0	0.001564976761887235	0.026110577261422758	0.02000676641504011	0	0.01911318946544037	0.004464543999650195	0.008398072665820492	0	0.03395294338042646	0.04519711174040447	0.09378718528357377	0.05036422919994496	0	0.03767174084844001	0	0	0.004063084090270729	0	0.5399776361392692	0.413225350898251
TCGA.18.3412.01A.01R.1031.01	0	0.00671988636608837	0.04545056430006639	0	0.00779665591704905	0.00216401106940282	0.010605697147764355	0.017235754111186143	0	0.036398644145563624	0	0.004103287247479091	0	0.04617408892375947	0.05933964791356954	0.07378072414559428	0.014461821263478395	0.0015959189704179962	0.031611635469867685	0.007909373782046042	0.0005999999999999999	0.014114091715225872	0	0.3688908906872204	0.3800539534191081
TCGA.18.3414.01A.01R.1031.01	0	0.0010186024997590798	0.024542631986174384	0.01486077406082642	0	0	0.015249458811915464	0.03519487555103943	0	0.06742786116737169	0	0	0	0	0.025492257076852674	0.025093442452562734	0.016188907120017016	0.03428898455222543	0.04875623023668516	0.031960036232373944	0	0.06496402275598367	0	0.3445739191663573	0.4050380845037871
TCGA.18.3415.01A.01R.1031.01	0	0.02838221595608503	0.055189473194216986	0.01347391384587211	0.018360760011435526	0.006193350369653347	0.0694871591919911	0.012712860411823061	0	0.03535191249143066	0	0.017605852608678113	0	0.006485563724865256	0.04774331874668222	0.03314931091999073	0.011873205365332458	0.010199689285581447	0.05189933481052827	0	0	0.009945061312923697	0	0.4744459052347137	0.42805298224709
TCGA.18.3416.01A.01R.1031.01	0	0.01808442378195308	0.04457350396796102	0.06642735270028699	0	0	0.03746967164688368	0.0347841730736344	0	0.11921545013116058	0	0.041469518965442605	0	0	0.04686550302751149	0.04687421612104977	0.01315862928597254	0.008553778521641103	0.03052475515401865	0	0	0.006933551863811787	0	0.36559918496555865	0.5149345282413277
