"Samples","Number.of.outlier","Outlier.genes"
"TCGA.04.1331.01A.01R.0434.01",39,"GPR1, CXCL10, ZNF135, PBXIP1, MAK, BCL7A, RYR1, C5AR1, MAP9, ZNF165, NFE2, PPFIBP1, REPS2, KIRREL, GAL3ST4, GPC4, STXBP6, RGS1, COL8A2, PASK, TCF7, SPOCK2, FOSB, RSAD2, HIST1H2BG, ATHL1, TRIB2, HIST1H2AE, MYB, GSTT1, SLC12A8, CYP27A1, FZD3, FZD2, DACH1, LAMP3, C1orf54, CHI3L1, IFI44L"
"TCGA.04.1332.01A.01R.0434.01",32,"GPC4, WNT7A, CCL20, KIRREL, CA8, C1orf54, AQP9, CXCL10, MAP4K1, SPOCK2, PPFIBP1, PLEKHF1, TCF7, CYP27A1, PTPRG, QPCT, TRIB2, RSAD2, MS4A6A, HPSE, FZD3, GSTT1, APOBEC3G, RGS1, CHI3L1, HLA-DQA1, SLC12A8, PNOC, EGR2, STXBP6, FOSB, IFI44L"
"TCGA.04.1335.01A.01R.0434.01",16,"RPL10L, ACP5, ZNF165, SELL, GSTT1, PLEKHF1, HIST1H2AE, FZD2, BST1, STXBP6, TCF7, VNN1, SLC12A8, HLA-DQA1, TRIB2, CHI3L1"
"TCGA.04.1336.01A.01R.0434.01",41,"VILL, CCL18, ADAM28, GPC4, PLA2G7, COL8A2, AIM2, FZD2, SLC12A8, PTPRG, VNN2, GAL3ST4, C1orf54, FZD3, TCF7, RGS1, APOL6, BST1, HPSE, SPOCK2, CRISP3, NCF2, CXCL11, FCGR2B, SLC15A3, MS4A6A, RSAD2, APOBEC3G, TRIB2, MMP9, HLA-DQA1, MYB, STXBP6, ATHL1, GSTT1, QPCT, LAMP3, LTB, IFI44L, CHI3L1, CXCL10"
"TCGA.04.1337.01A.01R.0434.01",38,"FCGR2B, EBI3, BIRC3, FZD2, FZD3, RPL10L, CCL19, PLEKHF1, CCR7, LEF1, HIST1H2BG, KIRREL, PTPRG, CHI3L1, IL2RB, GAL3ST4, TCF7, CYP27A1, PBXIP1, APOBEC3G, PPFIBP1, TNFAIP6, HRH1, C5AR1, TRIB2, C3AR1, MAP9, SLC12A8, RGS1, GSTT1, MS4A6A, DACH1, C1orf54, HLA-DQA1, CXCL10, PNOC, SPOCK2, CXCL9"
"TCGA.04.1338.01A.01R.0434.01",36,"FZD3, C3AR1, MAP9, CD38, AIF1, GAL3ST4, EBI3, FCGR2B, PPFIBP1, GSTT1, MMP12, CCR7, GZMB, PLA2G7, CD69, SPOCK2, APOBEC3G, MS4A6A, CCL19, PNOC, C5AR1, CXCL13, STXBP6, DACH1, DUSP2, UGT2B17, EGR2, TRIB2, HHEX, REN, CXCL10, SLC12A8, RGS1, CHI3L1, FOSB, CXCL9"
"TCGA.04.1341.01A.01R.0434.01",46,"BCL7A, GPR19, KIRREL, HIST1H2AE, PDK1, MANEA, WNT7A, DUSP2, MAP4K1, TRAF4, CD40, PBXIP1, TRIB2, GPC4, RRP9, RPL10L, C1orf54, CYP27A1, BRAF, SKAP1, REPS2, EPN2, SMPDL3B, MICAL3, SLC12A8, PTPRG, TCF7, RSAD2, RGS1, PPFIBP1, APOBEC3G, MAP9, KIAA0754, SPOCK2, STXBP6, FZD2, MYB, PNOC, CXCL10, LAMP3, IFI44L, FZD3, SPAG4, GSTT1, IGKC, CHI3L1"
"TCGA.04.1342.01A.01R.0434.01",42,"ADAM28, GPC4, EGR2, GPR1, PASK, TRAF4, GAL3ST4, PBXIP1, EPN2, CCL22, HLA-DOB, CCR7, KIRREL, ZFP36L2, SMPDL3B, TRIB2, ACP5, C1orf54, DUSP2, IL4R, KIAA0754, LIME1, MAP9, SLC12A8, SPOCK2, SPAG4, TCF7, MYB, ATHL1, FZD2, FZD3, CCL5, PPFIBP1, STXBP6, APOBEC3G, RSAD2, PLEKHF1, FOSB, CXCL10, LAMP3, CHI3L1, IFI44L"
"TCGA.04.1343.01A.01R.0434.01",21,"ATHL1, REPS2, EGR2, IFI44L, DUSP2, RYR1, CXCL10, MAP4K1, HLA-DQA1, FZD3, TCF7, BIRC3, RGS1, SLC12A8, SPOCK2, APOBEC3G, LTB, PNOC, CHI3L1, FOSB, IGKC"
"TCGA.04.1346.01A.01R.0434.01",28,"TCF7, PBXIP1, RYR1, CCR7, CCL18, SPOCK2, PPFIBP1, SLAMF8, QPCT, APOBEC3G, CCL5, FZD2, PNOC, CCL19, MMP12, NCF2, FCGR2B, MAGEA11, PLEKHF1, CCL20, ADAMDEC1, AIM2, CHI3L2, CXCL10, MMP9, HLA-DQA1, LTB, CHI3L1"
