""	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"	"f"
"ABCB4"	"415.340219353517"	"402.47524587576"	"304.005988362316"	"616.691732543502"	"299.810676242949"	"564.835929369017"	"703.378069598652"	"460.218930958768"	"316.003635965725"
"ABCB9"	"789.753096133348"	"780.963348695016"	"577.482986955669"	"694.522726667149"	"966.234152066918"	"583.770321639412"	"387.535891171227"	"804.687779064077"	"439.355833871412"
"ACAP1"	"5979.36700666424"	"6441.92784481405"	"4929.46484633393"	"7210.90592550415"	"6091.89677553314"	"7430.9830289901"	"4367.01286092202"	"5845.15413769637"	"4396.75703447644"
"ACHE"	"838.119139797863"	"0"	"235.241283033886"	"0"	"0"	"807.774153223583"	"749.329539622349"	"0"	"997.556472714067"
"ACP5"	"12457.6802674702"	"30028.8197825411"	"0"	"25930.8469405644"	"24358.4004092901"	"12323.8357737116"	"0"	"13469.3656371798"	"21729.8635704731"
"ADAM28"	"0"	"0"	"2566.57518892639"	"2717.55613296527"	"0"	"1753.18851047229"	"2746.36106101388"	"0"	"0"
"ADAMDEC1"	"15025.758986444"	"10628.8398453431"	"17316.4685152684"	"14203.7757729277"	"10169.3768323874"	"12996.8137438551"	"7080.61981873977"	"10716.8238730719"	"11667.9334388231"
"ADAMTS3"	"1226.80293669107"	"994.600529949801"	"1249.70291923585"	"1657.83520981368"	"1393.49117844908"	"1221.17094873793"	"1340.5492174585"	"973.791278673947"	"938.827183398276"
"ADRB2"	"10677.110393023"	"9727.24500680817"	"12121.4832795226"	"13254.539665365"	"11673.0932563678"	"11904.4370009754"	"11421.5856142384"	"8908.50119471882"	"9553.42439977015"
"AIF1"	"20519.7983230921"	"25636.15004333"	"20813.4461569346"	"22236.492748521"	"15394.6417647242"	"15258.181081449"	"15470.4471749234"	"21282.7704684888"	"19389.3473993054"
"AIM2"	"11386.3553826198"	"8798.27421341183"	"9719.6009015416"	"7933.97780618574"	"10603.8550520679"	"13603.8306310572"	"7355.2490549334"	"6723.36558563713"	"6119.08933968431"
"ALOX15"	"2773.87116367687"	"3575.73549361306"	"890.30290161068"	"3439.86306632316"	"1690.59961916925"	"2133.20617406859"	"1989.47362434003"	"606.431517417868"	"1806.5630948806"
"ALOX5"	"6635.11782383623"	"7251.14532560752"	"5985.05694712178"	"7925.88753932881"	"8186.06934738724"	"9053.07714754898"	"7602.5672627961"	"5747.74446268781"	"5298.50949967132"
