"","lusc.gene","Freq"
"147","IGKC",0.98
"183","MMP12",0.97
"212","RGS1",0.95
"37","CCL18",0.9
"87","CXCL13",0.85
"11","APOBEC3G",0.84
"166","LAMP3",0.82
"136","HLA-DQA1",0.75
"85","CXCL10",0.74
"39","CCL20",0.73
"186","MS4A6A",0.72
"71","CHI3L1",0.71
"31","C1orf54",0.69
"90","CXCL9",0.68
"191","NPL",0.68
"228","SLC12A8",0.68
"106","FCGR2B",0.64
"252","TRIB2",0.64
"47","CCR7",0.62
"189","NCF2",0.61
"214","RNASE6",0.61
"250","TREM1",0.56
"101","EBI3",0.55
"80","CPA3",0.54
"219","SAMSN1",0.51
"58","CD38",0.48
"245","TNFAIP6",0.48
"123","GSTT1",0.44
"3","ADAMDEC1",0.43
"73","CHST7",0.42
"155","IL4R",0.39
"119","GPC4",0.38
"148","IGSF6",0.38
"32","C3AR1",0.38
"138","HOXA1",0.38
"145","IGHD",0.35
"7","AIM2",0.35
"248","TRAF4",0.33
"38","CCL19",0.32
"77","CLEC7A",0.32
"222","SEPT8",0.32
"205","PRG2",0.32
"23","BCL2A1",0.31
"139","HPSE",0.31
"13","APOL6",0.3
"218","S100A12",0.3
"173","MAGEA11",0.29
"157","IL7R",0.29
"184","MMP9",0.28
"144","IFI44L",0.26
"146","IGHM",0.26
"44","CCND2",0.26
"100","EAF2",0.25
"150","IL1A",0.25
"234","SPAG4",0.25
"240","STXBP6",0.25
"1","ACP5",0.23
"196","PDK1",0.23
"124","GZMA",0.22
"151","IL1B",0.22
"10","APOBEC3A",0.21
"78","CLIC2",0.21
"164","KYNU",0.21
"43","CCL5",0.2
"50","CD1B",0.2
"40","CCL22",0.19
"42","CCL4",0.19
"63","CD40",0.19
"129","HCK",0.19
"197","PIK3IP1",0.18
"209","QPCT",0.18
"243","TLR2",0.18
"59","CD3D",0.17
"102","EGR2",0.17
"188","MYB",0.17
"132","HIST1H2AE",0.17
"229","SLC15A3",0.17
"175","MANEA",0.16
"198","PLA2G7",0.16
"49","CD1A",0.15
"180","MARCO",0.15
"114","FZD2",0.14
"54","CD2",0.14
