"","ov.gene","Freq"
"75","CHI3L1",0.96
"11","APOBEC3G",0.84
"92","CXCL10",0.84
"158","IFI44L",0.79
"256","SLC12A8",0.79
"238","RGS1",0.75
"33","C1orf54",0.71
"130","FZD3",0.69
"222","PNOC",0.68
"268","STXBP6",0.66
"285","TRIB2",0.66
"137","GSTT1",0.63
"201","MS4A6A",0.61
"263","SPOCK2",0.59
"269","TCF7",0.57
"224","PPFIBP1",0.56
"243","RSAD2",0.56
"220","PLEKHF1",0.54
"119","FCGR2B",0.53
"150","HLA-DQA1",0.52
"179","LAMP3",0.52
"203","NCF2",0.51
"34","C3AR1",0.49
"229","PTPRG",0.48
"161","IGKC",0.46
"129","FZD2",0.44
"240","RNASE6",0.44
"241","RPL10L",0.42
"133","GPC4",0.41
"261","SMPDL3B",0.4
"202","MYB",0.39
"13","APOL6",0.39
"146","HIST1H2AE",0.38
"262","SPAG4",0.38
"265","ST3GAL6",0.37
"41","CCL20",0.36
"193","MAP9",0.36
"97","CXCL9",0.36
"50","CCR7",0.34
"131","GAL3ST4",0.33
"252","SKAP1",0.33
"40","CCL19",0.32
"153","HPSE",0.32
"101","DACH1",0.32
"109","DUSP2",0.3
"199","MMP9",0.29
"237","REPS2",0.28
"111","EBI3",0.27
"1","ACP5",0.27
"125","FOSB",0.26
"93","CXCL11",0.25
"187","LY86",0.25
"99","CYP27A1",0.25
"215","PBXIP1",0.25
"16","ATHL1",0.25
"154","HRH1",0.25
"147","HIST1H2BG",0.24
"174","KIRREL",0.24
"230","QPCT",0.24
"275","TNFAIP6",0.24
"300","ZNF165",0.23
"25","BIRC3",0.23
"217","PIK3IP1",0.22
"135","GPR19",0.21
"283","TREM2",0.21
"192","MAP4K1",0.21
"14","AQP9",0.21
"244","RYR1",0.2
"297","WNT7A",0.2
"83","COL8A2",0.2
"39","CCL18",0.19
"36","CA8",0.19
"112","EGR2",0.19
"298","ZFP36L2",0.19
"94","CXCL13",0.18
"23","BCL7A",0.18
"3","ADAMDEC1",0.17
"188","MAGEA11",0.17
"246","SAMSN1",0.17
"168","IL4R",0.16
"181","LEF1",0.16
"47","CCND2",0.16
"198","MMP12",0.16
"292","VILL",0.15
"257","SLC15A3",0.15
"61","CD38",0.15
"185","LTB",0.15
"81","CLEC7A",0.14
"6","AIF1",0.14
"186","LTC4S",0.13
"30","BST1",0.13
"219","PLA2G7",0.13
"242","RRP9",0.13
"197","MICAL3",0.13
"227","PTGER2",0.12
"12","APOL3",0.12
"29","BRAF",0.11
"2","ADAM28",0.11
"159","IGHD",0.11
"293","VNN1",0.11
"49","CCR5",0.11
"87","CRISP3",0.11
"157","ICA1",0.11
"66","CD40",0.1
"19","BANK1",0.1
"45","CCL5",0.1
"160","IGHM",0.09
"165","IL1B",0.09
"149","HLA-DOB",0.09
"266","ST6GALNAC4",0.08
"286","TRPM4",0.08
"67","CD69",0.08
"216","PDK1",0.08
"191","MANEA",0.08
"4","ADAMTS3",0.08
"22","BCL2A1",0.08
"57","CD22",0.08
"182","LIME1",0.08
"116","EPN2",0.07
"281","TRAF4",0.07
"42","CCL22",0.07
"273","TLR2",0.07
"56","CD2",0.07
"282","TREM1",0.07
"32","C11orf80",0.06
"7","AIM2",0.06
"27","BMP2K",0.06
"74","CDH12",0.06
"35","C5AR1",0.06
"171","IRF8",0.06
"302","ZNF324",0.06
"254","SLAMF8",0.06
"290","UGT2B17",0.06
"214","PASK",0.06
"44","CCL4",0.05
"176","KLRF1",0.05
"151","HNMT",0.05
"170","IL7R",0.05
"134","GPR1",0.05
"189","MAK",0.05
"200","MNDA",0.05
"218","PLA1A",0.05
"132","GNLY",0.04
"142","HAL",0.04
"107","DPP4",0.04
"91","CST7",0.04
"255","SLC12A1",0.04
"294","VNN2",0.04
"296","WNT5B",0.04
"96","CXCL5",0.04
"152","HOXA1",0.04
"162","IGSF6",0.04
"38","CCL13",0.03
"95","CXCL3",0.03
"141","GZMK",0.03
"143","HCK",0.03
"234","RCAN3",0.03
"249","SELL",0.03
"65","CD4",0.03
"82","CLIC2",0.03
"110","EAF2",0.03
"167","IL2RB",0.03
"178","KYNU",0.03
"62","CD3D",0.03
"76","CHI3L2",0.03
"108","DSC1",0.03
"301","ZNF222",0.03
"73","CDC25A",0.03
"85","CR2",0.03
"145","HHEX",0.03
"173","KIAA0754",0.03
"258","SLC2A6",0.03
"299","ZNF135",0.03
"100","CYP27B1",0.03
"105","DHX58",0.03
"156","HTR2B",0.03
"212","P2RY2",0.03
"10","APOBEC3A",0.02
"138","GZMA",0.02
"139","GZMB",0.02
"204","NFE2",0.02
"155","HSPA6",0.02
"210","P2RX5",0.02
"253","SLAMF1",0.02
"72","CDA",0.02
"136","GPR65",0.02
"235","REN",0.02
"288","TXK",0.02
"295","VNN3",0.02
"59","CD27",0.02
"79","CLEC10A",0.02
"104","DGKA",0.02
"128","FRMD4A",0.02
"190","MAN1A1",0.02
"194","MARCO",0.02
"287","TSHR",0.02
"8","ALOX5",0.01
"77","CHST7",0.01
"90","CSF3R",0.01
"127","FRK",0.01
"183","LRMP",0.01
"223","PPBP",0.01
"274","TLR7",0.01
"43","CCL23",0.01
"51","CD19",0.01
"52","CD1A",0.01
"103","DEPDC5",0.01
"169","IL7",0.01
"207","NOD2",0.01
"277","TNFRSF17",0.01
"46","CCL7",0.01
"68","CD70",0.01
"84","CPA3",0.01
"102","DAPK2",0.01
"118","FCER1A",0.01
"120","FCGR3B",0.01
"122","FES",0.01
"175","KLRB1",0.01
"208","NPL",0.01
"226","PRG2",0.01
"250","SIGLEC1",0.01
"18","BACH2",0.01
"53","CD1B",0.01
"113","EMR1",0.01
"115","EPHA1",0.01
"209","NR4A3",0.01
"221","PLEKHG3",0.01
"232","RASGRP3",0.01
"15","ARHGAP22",0.01
"20","BARX2",0.01
"70","CD86",0.01
"80","CLEC4A",0.01
"86","CREB5",0.01
"88","CRTAM",0.01
"98","CXorf57",0.01
"184","LST1",0.01
"195","MEP1A",0.01
"225","PRF1",0.01
"233","RASSF4",0.01
"236","RENBP",0.01
"245","S100A12",0.01
"247","SCN9A",0.01
"279","TNFSF14",0.01
"21","BCL11B",0
"37","CAMP",0
"64","CD3G",0
"117","FAIM3",0
"121","FCN1",0
"124","FLVCR2",0
"126","FPR1",0
"144","HDC",0
"164","IL1A",0
"172","ITK",0
"205","NIPSNAP3B",0
"206","NKG7",0
"213","PAQR5",0
"228","PTPRCAP",0
"231","RAB27B",0
"239","RNASE2",0
"272","TGM5",0
"276","TNFRSF11A",0
"303","ZNF442",0
"5","ADRB2",0
"9","AMPD1",0
"17","AZU1",0
"24","BFSP1",0
"26","BLK",0
"28","BPI",0
"31","BTNL8",0
"48","CCR2",0
"54","CD1C",0
"55","CD1E",0
"58","CD247",0
"60","CD33",0
"63","CD3E",0
"69","CD79A",0
"71","CD8B",0
"78","CLC",0
"89","CRYBB1",0
"106","DPEP2",0
"114","EMR3",0
"123","FFAR2",0
"140","GZMH",0
"148","HK3",0
"163","IL12RB2",0
"166","IL2RA",0
"177","KLRK1",0
"180","LAT",0
"196","MGAM",0
"211","P2RY14",0
"248","SEC31B",0
"251","SIT1",0
"259","SLC7A10",0
"260","SLCO5A1",0
"264","SSX1",0
"267","ST8SIA1",0
"270","TCL1A",0
"271","TEP1",0
"278","TNFRSF4",0
"280","TNIP3",0
"284","TREML2",0
"289","TYR",0
"291","UPK3A",0
